transaction_id,transaction_amount,transaction_date,card_number,card_type,card_expiry_date,cvv,billing_address,billing_city,billing_state,billing_postal_code,shipping_address,shipping_city,shipping_state,shipping_postal_code,ip_address,user_agent,is_fraudulent,reason_for_fraud,merchant_name,merchant_category,merchant_location,transaction_status,refund_amount,refund_date,chargeback_reason
11,5488.72,1/17/2021,5602243431683751,china-unionpay,5/16/2022,113,8 Pine View Avenue,Gon’ba,,656903,0 Novick Plaza,Liudu,,,140.76.238.27,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",false,identity_theft,Oyoloo,clothing,Los Angeles,pending,253.64,2/17/2021,fraudulent_transaction
12,5602.36,9/16/2021,5602211019570062,china-unionpay,1/5/2025,830,11 Bowman Avenue,Jajawai,,,7 Fremont Trail,Sallins,,W91,22.59.221.172,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",false,stolen_card,Zoombox,food,Pinhão,completed,781.21,6/30/2021,product_not_received
13,6691.11,8/29/2021,6763028572017544,maestro,5/17/2024,627,1 Jackson Road,Caimitillo,,,284 Banding Alley,Barreiras,,47800-000,35.157.179.192,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30",true,stolen_card,Bubbletube,food,Glotovka,pending,236.16,2/20/2021,product_not_received
14,4240.28,2/13/2021,3561749107740489,jcb,1/28/2022,831,7257 Graceland Hill,Bella Vista,,10112,4338 Meadow Vale Point,Isfara,,,154.112.76.60,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.815.10913 Safari/535.1",true,identity_theft,Ailane,food,Little Rock,completed,393.27,9/6/2021,product_not_received
15,8866.63,6/11/2021,201502082254014,diners-club-enroute,8/7/2024,325,628 Myrtle Parkway,Foshan,,,75 Kings Avenue,Kool Tengah,,,59.78.151.120,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7; en-us) AppleWebKit/533.4 (KHTML, like Gecko) Version/4.1 Safari/533.4",true,stolen_card,Tazz,electronics,Amaraji,refunded,812.65,6/1/2021,product_not_received
16,6161.96,10/11/2021,3578059125098196,jcb,12/19/2022,888,43967 Cardinal Court,Tiandian,,,0074 Spaight Terrace,Tartouss,,,84.115.140.136,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1",true,stolen_card,Skalith,clothing,Chinú,pending,54.82,2/20/2021,unauthorized_charge
17,9508.71,4/25/2021,3537243325698175,jcb,5/4/2025,456,5494 Lake View Circle,Nacka,AB,131 83,35 Westridge Hill,Ciherang,,,21.254.50.140,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",true,identity_theft,Wikizz,food,Foros do Trapo,pending,930.57,11/13/2021,fraudulent_transaction
18,2506.57,4/28/2021,3563804015602178,jcb,1/29/2022,805,085 Northwestern Pass,Singasari,,,3 Hoffman Street,Qesarya,,,192.4.195.220,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36",false,identity_theft,Brainbox,electronics,Yinjiang,completed,381.03,6/20/2021,product_not_received
19,9102.62,1/31/2021,6380437382758317,instapayment,3/26/2023,955,54 Forster Pass,Lubasz,,64-720,08 Corry Street,Satka,,456918,69.77.91.69,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.35 (KHTML, like Gecko) Ubuntu/10.10 Chromium/13.0.764.0 Chrome/13.0.764.0 Safari/534.35",false,stolen_card,Meetz,food,Manjakandriana,pending,785.8,10/29/2021,unauthorized_charge
20,7814.77,4/4/2021,5602253824065656,china-unionpay,9/21/2022,801,88 Claremont Terrace,Loučeň,,289 37,33 Leroy Point,Dzüyl,,,106.207.12.128,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11",false,identity_theft,Skibox,clothing,Agrela,completed,688.9,12/19/2021,fraudulent_transaction
21,7262.84,9/1/2021,3564081351543576,jcb,12/7/2025,620,6 Grayhawk Avenue,Sandata,,347612,7 Scoville Junction,Samut Prakan,,10270,160.237.158.216,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",true,identity_theft,Centimia,clothing,Sangari,refunded,346.82,2/9/2021,fraudulent_transaction
22,6039.74,3/12/2021,5893693525301629,maestro,8/2/2024,191,0 Gerald Street,Qinglin,,,96976 Fisk Plaza,Petrovskaya,,140093,148.137.49.195,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.669.0 Safari/534.20",false,stolen_card,Innotype,food,T’et’ri Tsqaro,completed,388.61,3/6/2021,product_not_received
23,4040.87,11/16/2021,4936487224306352963,switch,4/10/2022,723,57 Colorado Drive,Carregado,11,2580-466,791 Blackbird Street,Zhuoshui,,,39.63.249.249,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",true,stolen_card,Thoughtsphere,electronics,Babo-Pangulo,pending,338.44,8/31/2021,unauthorized_charge
24,6332.87,7/28/2021,5383831642641298,mastercard,2/18/2025,591,765 Bonner Avenue,Mansôa,,,7 Lakewood Gardens Court,Planaltina,,73750-000,198.141.20.220,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.10 Chromium/17.0.963.65 Chrome/17.0.963.65 Safari/535.11",false,identity_theft,Feedfire,food,Ainaro,refunded,322.26,6/13/2021,fraudulent_transaction
25,8102.22,6/12/2021,3549055364168589,jcb,3/7/2024,729,6584 Erie Junction,Vitarte,,,112 Macpherson Alley,Desa Werasari,,,241.233.223.17,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",false,identity_theft,Yambee,electronics,Mabuhay,completed,953.1,5/21/2021,product_not_received
26,5972.73,6/13/2021,5602246573136660,china-unionpay,1/18/2025,862,111 Burning Wood Lane,Pando,,2826,99797 Emmet Place,Sumberpucung,,,89.92.234.130,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-gb) AppleWebKit/528.10+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2",false,unauthorized_access,BlogXS,electronics,Banjar Dukuh,completed,625.04,5/24/2021,product_not_received
27,9766.33,7/12/2021,63045758439663871,laser,8/7/2024,413,97575 Center Way,Kitui,,,431 Fulton Lane,Trzebieszów,,21-404,35.75.57.32,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/537.11",false,stolen_card,Abatz,electronics,Longkou,refunded,443.26,2/24/2021,fraudulent_transaction
28,71.23,9/7/2021,6399515697454216,instapayment,8/7/2022,723,6530 Hallows Junction,Cijeungjing Kaler,,,24821 Portage Parkway,Guanli,,,179.71.12.181,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; pl-pl) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8F190 Safari/6533.18.5",false,stolen_card,Thoughtsphere,electronics,Pamplona,completed,486.66,10/14/2021,unauthorized_charge
29,5625.9,8/2/2021,3578977310279661,jcb,4/21/2025,134,89036 Forest Dale Trail,Indaial,,89130-000,87338 Prairieview Center,Gaocun,,,119.121.27.89,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.04 Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.11",false,identity_theft,Riffpedia,clothing,Rautalampi,completed,615.53,12/9/2021,unauthorized_charge
30,7646.68,5/21/2021,3532811085559301,jcb,7/7/2023,941,4429 Russell Way,Tilamuta,,,1 Garrison Center,Pasaco,,22015,84.252.222.95,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.694.0 Safari/534.24",false,stolen_card,Skyndu,clothing,Teeli,completed,258.63,8/13/2021,fraudulent_transaction
31,8215.77,3/1/2021,5462177826082550,mastercard,2/8/2022,587,913 Village Way,Lovran,,51415,721 Burrows Street,Coruripe,,57230-000,64.227.101.143,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1",true,identity_theft,Edgewire,food,Citatah Kaler,completed,532.94,2/14/2021,unauthorized_charge
32,2936.35,11/18/2021,3545911462765516,jcb,3/7/2024,356,6684 Canary Lane,Bulupayung,,,94766 Russell Pass,Xylókastro,,,4.156.233.7,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30",false,unauthorized_access,Thoughtblab,clothing,Courbevoie,pending,525.11,3/23/2021,fraudulent_transaction
33,9839.4,2/15/2021,5423587066672290,mastercard,3/20/2023,714,4784 Warner Parkway,Coromandel,,3543,012 Ilene Plaza,Jovellar,,4515,149.159.58.134,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1",false,stolen_card,Jabbersphere,food,Särkisalo,pending,397.17,2/17/2021,fraudulent_transaction
34,8207.69,7/23/2021,3529954103113449,jcb,12/19/2022,308,391 Hollow Ridge Lane,Sukodono,,,09992 American Ash Crossing,Vicuña,,,135.247.109.205,"Mozilla/5.0 (Windows; U; Windows NT 6.1; fr-FR) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",true,unauthorized_access,Jayo,electronics,Santa Ana,pending,709.91,7/17/2021,fraudulent_transaction
35,1410.59,4/9/2021,4905204900349807660,switch,4/12/2024,979,5379 Redwing Trail,Camasca,,,3 Rusk Way,Bitam,,,97.92.123.227,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2_1 like Mac OS X; he-il) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5",true,identity_theft,Bubblebox,food,Al Munīrah,refunded,82.21,7/14/2021,unauthorized_charge
36,3741.83,1/11/2021,3572682130346163,jcb,8/17/2024,579,5475 Crescent Oaks Point,Donnybrook,,D04,0548 Rigney Center,Watangan,,,112.38.173.183,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.18 (KHTML, like Gecko) Chrome/11.0.660.0 Safari/534.18",false,unauthorized_access,Janyx,food,Salvacion,refunded,696.75,5/17/2021,product_not_received
37,7603.81,1/13/2021,3551861359034172,jcb,4/22/2023,836,195 Atwood Drive,Västervik,H,593 35,999 Moose Parkway,Pale,,,93.189.17.75,Mozilla/5.0 (Windows; U; Windows NT 5.1; rv:15.0) Gecko/20121011 Firefox/15.0.1,false,stolen_card,Zooxo,electronics,Camatagua,refunded,390.6,6/29/2021,fraudulent_transaction
38,1949.91,3/28/2021,3575147796668950,jcb,6/16/2025,377,01423 Dovetail Street,Baoyou,,,56142 Carberry Court,Lizhuangzi,,,111.165.224.133,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:6.0a2) Gecko/20110613 Firefox/6.0a2,false,unauthorized_access,Meemm,electronics,Dobje pri Planini,pending,953.94,7/31/2021,unauthorized_charge
39,8330.56,1/25/2021,490358723307801256,switch,2/24/2025,868,819 Mccormick Center,Accha,,,68 Banding Center,Ménaka,,,193.168.185.173,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/12.0.702.0 Safari/534.24",true,unauthorized_access,LiveZ,electronics,Cabeçudos,completed,491.99,2/9/2021,fraudulent_transaction
40,221.68,2/14/2021,3544737193758715,jcb,7/10/2022,903,684 Macpherson Avenue,Springfield,IL,62705,020 Texas Plaza,Hexi,,,33.26.62.136,Mozilla/5.0 (Windows NT 6.1; U;WOW64; de;rv:11.0) Gecko Firefox/11.0,false,unauthorized_access,Skyba,clothing,Rogoźnik,pending,51.95,8/18/2021,product_not_received
41,662.24,4/17/2021,3537010900164125,jcb,3/21/2022,618,4 Drewry Pass,Quirinópolis,,75860-000,832 Knutson Trail,Kościelec,,62-604,130.11.94.148,Googlebot/2.1 (+http://www.google.com/bot.html),true,identity_theft,Youtags,food,Yabrūd,pending,58.35,4/15/2021,fraudulent_transaction
42,3662.08,1/9/2021,3529944244771957,jcb,6/5/2023,111,48 Carpenter Drive,Vinnytsya,,,031 Lakeland Center,Novozybkov,,243036,153.105.20.45,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",false,identity_theft,Wordpedia,electronics,Noebesa,pending,532.81,8/16/2021,fraudulent_transaction
43,8257.78,7/23/2021,3553526421778498,jcb,5/13/2022,611,8 Buell Lane,Buan,,6333,3060 Mayer Alley,Yangfang,,,143.201.146.103,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",true,identity_theft,Izio,electronics,Zhifang,refunded,955.49,8/27/2021,unauthorized_charge
44,9168.28,4/15/2021,502015976460109423,maestro,7/7/2023,694,6 Declaration Park,Aquiraz,,61700-000,5337 Scoville Alley,Douliu,,,246.19.193.209,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/13.0.1,true,unauthorized_access,Tagfeed,clothing,Vřesina,completed,746.54,2/15/2021,product_not_received
45,4219.69,3/17/2021,5602251431027275,bankcard,3/28/2025,648,7798 Ronald Regan Point,Xifengshan,,,80 Spenser Way,Urukh,,361366,96.136.67.205,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/10.04 Chromium/14.0.813.0 Chrome/14.0.813.0 Safari/535.1",true,stolen_card,Mydeo,food,Napu,pending,232.53,5/8/2021,unauthorized_charge
46,9037.13,11/3/2021,3537013928154375,jcb,11/22/2022,824,05 Fuller Drive,Malainen Luma,,4110,29928 Karstens Alley,Gribanovskiy,,397243,95.255.223.126,"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.82 Safari/534.16",false,stolen_card,Rhynyx,clothing,Mananum,refunded,423.87,11/17/2021,unauthorized_charge
47,9634.66,8/3/2021,3571477317411380,jcb,4/22/2024,593,538 Muir Terrace,Abéché,,,94 Ilene Circle,Grand-Bassam,,,183.56.25.87,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.45 Safari/535.19",false,identity_theft,Topiczoom,clothing,Soufrière,completed,140.68,3/4/2021,product_not_received
48,3029.15,10/17/2021,3570723269535218,jcb,3/15/2022,628,9970 East Hill,Balingasag,,9005,10 Merchant Hill,Kaloyanovo,,4181,155.181.71.170,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/19.0.1047.0 Safari/535.22",false,identity_theft,Photolist,clothing,Lagoa Vermelha,pending,629.01,5/5/2021,unauthorized_charge
49,76.89,3/6/2021,6377727809613219,instapayment,10/11/2025,515,2834 Little Fleur Crossing,Antipolo,,6005,0 Mayer Trail,Helixi,,,71.36.148.221,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.75 Safari/535.7",true,identity_theft,Tagfeed,food,Magaozhuang,completed,848.33,12/18/2021,product_not_received
50,8107.84,6/29/2021,3551978121658888,jcb,7/8/2025,205,0 Sheridan Lane,Coyaima,,735037,6662 Mockingbird Center,Quartier Morin,,,5.9.15.55,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",true,stolen_card,Twitterbeat,electronics,Mlimba,completed,926.12,12/22/2021,fraudulent_transaction
51,494.1,12/2/2021,3579402207170575,jcb,4/27/2022,303,3 Waubesa Place,Tuanlin,,,23735 Jana Center,Kamifukuoka,,959-2073,103.206.201.241,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; de) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2",true,identity_theft,Yabox,clothing,Kurbnesh,completed,779.04,8/3/2021,fraudulent_transaction
52,3653.5,1/9/2021,3536397438459726,jcb,3/3/2024,485,19996 Moland Court,Mbigou,,,72 Iowa Parkway,Gunungjulang,,,185.137.201.46,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; ca-es) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",false,unauthorized_access,Youbridge,electronics,Almenara,completed,359.02,3/27/2021,product_not_received
53,7373.84,1/9/2021,3580977265208299,jcb,6/26/2025,234,49 Rigney Way,Tsubame,,959-1287,5255 Grayhawk Point,Xixiang,,,134.119.56.34,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; it-it) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",false,stolen_card,Browsebug,food,Santa Barbara,refunded,608.51,10/30/2021,product_not_received
54,6065.83,8/2/2021,5602242807103550,bankcard,12/12/2025,649,8449 Monica Lane,Cumedak,,,446 Emmet Crossing,Juripiranga,,58330-000,195.121.113.232,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",true,stolen_card,Youfeed,food,Chenfang,pending,684.95,1/7/2021,product_not_received
55,487.48,1/19/2021,3557379789385225,jcb,8/16/2025,946,61 Tennessee Way,Nanlu,,,6 Red Cloud Point,Deh-e Now,,,114.26.31.198,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36",false,identity_theft,Chatterpoint,clothing,Boca Suno,refunded,150.04,7/23/2021,fraudulent_transaction
56,7836.96,9/4/2021,5301366817062052,mastercard,10/9/2024,362,287 Delaware Pass,Pirojpur,,1811,46900 Buena Vista Place,Berbera,,,240.180.218.55,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.697.0 Safari/534.24",true,unauthorized_access,Photofeed,clothing,Asahbadung,pending,344.72,9/16/2021,product_not_received
57,1892.71,5/14/2021,3563151034255111,jcb,4/14/2023,806,442 Drewry Junction,Dokshytsy,,,542 Norway Maple Alley,Xuanhuadian,,,50.183.182.29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1042.0 Safari/535.21",true,unauthorized_access,Tagopia,clothing,Renshan,completed,991.82,10/11/2021,product_not_received
58,7148.03,10/18/2021,374622729196013,americanexpress,7/10/2025,558,51142 West Road,Urasqui,,,7 Pankratz Way,Dmytrivka,,,215.71.5.43,"Mozilla/5.0 (iPhone; U; fr; CPU iPhone OS 4_2_1 like Mac OS X; fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",true,identity_theft,Ooba,food,Prinza,pending,886.99,5/22/2021,fraudulent_transaction
59,8713.04,11/29/2021,4917191827341802,visa-electron,8/12/2024,407,41147 Lukken Place,Mshinskaya,,442942,0034 Anzinger Street,Paris 07,A8,75345 CEDEX 07,188.129.26.182,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",true,identity_theft,Eidel,food,Shangcunba,completed,860.63,5/19/2021,product_not_received
60,910.48,5/14/2021,3587476926917607,jcb,4/8/2024,785,76782 Kingsford Court,Yangping,,,4 Ruskin Point,Trancas,,4124,155.123.95.228,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/11.0.686.3 Safari/534.23",true,identity_theft,Dabtype,electronics,Vänersborg,pending,345.67,6/29/2021,product_not_received
61,4985.52,9/22/2021,6304114027757509092,laser,5/22/2025,174,674 Pierstorff Place,Pelabuhan Dagang,,,527 Lunder Park,Kotri,,76000,200.166.62.133,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/24.0.1292.0 Safari/537.14",true,stolen_card,Photofeed,food,Toutuo,refunded,829.82,7/15/2021,product_not_received
62,8535.55,10/6/2021,6331109370857946891,switch,6/11/2024,454,5060 Delladonna Circle,San Fernando Apure,,,9 3rd Avenue,Surulangun Rawas,,,41.133.240.217,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11",false,identity_theft,Fadeo,clothing,Topory,completed,250.36,6/9/2021,fraudulent_transaction
63,4728.02,6/23/2021,374283094372885,americanexpress,10/3/2023,936,7515 Morrow Alley,Jinqu,,,9722 Mosinee Circle,Jiagao,,,137.49.183.138,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; ko-kr) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",false,stolen_card,Blognation,clothing,Yelan’-Kolenovskiy,refunded,755.1,6/29/2021,fraudulent_transaction
64,8053.32,2/20/2021,3530482571751455,jcb,12/13/2025,390,1 Twin Pines Lane,Tamuning-Tumon-Harmon Village,,96913,068 Waubesa Road,Rāmganj,,3725,157.77.195.116,"Mozilla/5.0 (X11; CrOS i686 12.433.216) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.105 Safari/534.30",true,identity_theft,Livefish,clothing,Leśna Podlaska,refunded,102.15,8/8/2021,fraudulent_transaction
65,4785.37,10/14/2021,5641823606990132,switch,7/12/2023,599,4008 Debra Way,Kenamoen,,,38537 Reindahl Trail,Kawalimukti,,,84.135.57.132,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1041.0 Safari/535.21",false,identity_theft,Topicstorm,electronics,Changping,completed,492.58,12/2/2021,product_not_received
66,3.7,11/15/2021,3540078592707449,jcb,12/2/2025,355,3 Eastwood Court,Dingyan,,,1 Declaration Terrace,Carolina,72,00987,193.85.119.221,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/13.0.766.0 Safari/534.36",false,identity_theft,Quamba,food,San Rafael,completed,578.35,3/9/2021,unauthorized_charge
